,ref_url,submitter_name,submitter_email,submitter_institution,generation_date,method,smiles,ref_mols,original ID,ID,ROMol,inchikey,tags,ref_pdb,alias,HIPPO ID,original SMILES
172,None,None,None,,None,None,,"cx0317a,cx0441a",cx0441a-cx0317a,cx0441a-cx0317a,<rdkit.Chem.rdchem.Mol object at 0x167f61770>,YIIMVUSFSKUYCA-UHFFFAOYSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx0441a-cx0317a,1869,Cc1c(C(=O)NCO)ccnc1NC1CC=CC1
173,None,None,None,,None,None,,"cx0760a,cx0441a",cx0441a-cx0760a,cx0441a-cx0760a,<rdkit.Chem.rdchem.Mol object at 0x167f617e0>,ICJREYJAEFVKGV-KCJUWKMLSA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx0441a-cx0760a,1871,NC(=O)C1=CC2=C[C@H]3CC=C[C@@H]3NN2C=C1
174,None,None,None,,None,None,,"cx0543a,cx0441a",cx0441a-cx0543a,cx0441a-cx0543a,<rdkit.Chem.rdchem.Mol object at 0x167f61850>,IHQIPDSFIYHILS-WPRPVWTQSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx0441a-cx0543a,1876,NC(=O)c1ccc2c(c1)N[C@H]1CC=C[C@@H]1C2=O
175,None,None,None,,None,None,,"cx0436a,cx0441a",cx0441a-cx0436a,cx0441a-cx0436a,<rdkit.Chem.rdchem.Mol object at 0x167f618c0>,XADHKYPYAQGCKZ-UOIKSKOESA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0441a-cx0436a,1881,NC(=O)c1ccc2c(c1)C[C@@]1(C[C@H]3CCCC[C@H]3C1)NC2
176,None,None,None,,None,None,,"cx0441a,cx1183a",cx0441a-cx1183a,cx0441a-cx1183a,<rdkit.Chem.rdchem.Mol object at 0x167f61930>,WSUNYLIUERFGKX-APPZFPTMSA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx0441a-cx1183a,1899,NC(=O)[C@@H]1CCN2C3=C(CC=CO3)N[C@@H]2C1
177,None,None,None,,None,None,,"cx0632a,cx1135a",cx1135a-cx0632a,cx1135a-cx0632a,<rdkit.Chem.rdchem.Mol object at 0x167f619a0>,KWJZRRUYKMBOSC-UKRRQHHQSA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx1135a-cx0632a,1907,CN[C@H](c1cnn(-c2ccccc2)c1)[C@H]1CCC(=O)NN1
178,None,None,None,,None,None,,"cx0824a,cx1135a",cx1135a-cx0824a,cx1135a-cx0824a,<rdkit.Chem.rdchem.Mol object at 0x167f61a10>,TXDDOQQHSYQXIF-UHFFFAOYSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx1135a-cx0824a,1908,O=C(Nc1ccc(=O)[nH]c1Cc1ccncc1)c1ccccc1F
179,None,None,None,,None,None,,"cx0305a,cx1135a",cx1135a-cx0305a,cx1135a-cx0305a,<rdkit.Chem.rdchem.Mol object at 0x167f61a80>,KIULBMGWDSJTMM-UHFFFAOYSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx1135a-cx0305a,1909,Cc1ccncc1NC(=O)Cc1cccc(=O)[nH]1
180,None,None,None,,None,None,,"cx0553a,cx0316a",cx0553a-cx0316a,cx0553a-cx0316a,<rdkit.Chem.rdchem.Mol object at 0x167f61af0>,GPZJEEYGFUVZKG-UHFFFAOYSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0553a-cx0316a,1941,CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N
181,None,None,None,,None,None,,"cx0317a,cx0294a",cx0294a-cx0317a,cx0294a-cx0317a,<rdkit.Chem.rdchem.Mol object at 0x167f61b60>,FOLIGXJSWKWUJI-UHFFFAOYSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'select (JA) [batch3_oxyanion]', 'raw']",cx0300a,cx0294a-cx0317a,1946,N#CCc1nccn1CC(F)(F)OC1=C(CCO)C(=O)N=N1
182,None,None,None,,None,None,,"cx0585a,cx0294a",cx0294a-cx0585a,cx0294a-cx0585a,<rdkit.Chem.rdchem.Mol object at 0x167f61bd0>,RADFRWGEZZVGMR-UHFFFAOYSA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'select (JA) [batch3_oxyanion]', 'raw']",cx0300a,cx0294a-cx0585a,1954,Nc1ccc(F)cc1C(=O)c1nccn1CC(F)(F)F
183,None,None,None,,None,None,,"cx0294a,cx0505a",cx0294a-cx0505a,cx0294a-cx0505a,<rdkit.Chem.rdchem.Mol object at 0x167f61c40>,IREBZKCAAUBPGU-UHFFFAOYSA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx0294a-cx0505a,1964,Cc1cn2c(c1O)-c1c(N)ccc(F)c1OCC(F)(F)C2
184,None,None,None,,None,None,,"cx0294a,cx1183a",cx0294a-cx1183a,cx0294a-cx1183a,<rdkit.Chem.rdchem.Mol object at 0x167f61cb0>,VWXBKNSUYFZSHF-UHFFFAOYSA-N,"['select (DF) [batch3_oxyanion]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'select (JA) [batch3_oxyanion]', 'raw']",cx0300a,cx0294a-cx1183a,1965,FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3
185,None,None,None,,None,None,,"cx1372a,cx0300a",cx0300a-cx1372a,cx0300a-cx1372a,<rdkit.Chem.rdchem.Mol object at 0x167f61d20>,GAXUXENYSQWSMK-SSDOTTSWSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1372a,1967,NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N
186,None,None,None,,None,None,,"cx0732a,cx0300a",cx0300a-cx0732a,cx0300a-cx0732a,<rdkit.Chem.rdchem.Mol object at 0x167f61d90>,QXTJKJMNVYQZDF-ONGXEEELSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0732a,1968,CN(C(=O)c1cn[nH]c1)[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1
187,None,None,None,,None,None,,"cx0620a,cx0300a",cx0300a-cx0620a,cx0300a-cx0620a,<rdkit.Chem.rdchem.Mol object at 0x167f61e00>,BUYREVNXKWTVBD-KRWDZBQOSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0620a,1971,O=C(N[C@H]1CNC(=O)c2ccc(Cn3cnc4ccccc43)cc21)c1cscn1
188,None,None,None,,None,None,,"cx1305a,cx0300a",cx0300a-cx1305a,cx0300a-cx1305a,<rdkit.Chem.rdchem.Mol object at 0x167f61e70>,FFFPFWCFZPTWPU-NTDWFJSYSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1305a,1975,O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3O)OCO2)CN1
189,None,None,None,,None,None,,"cx1440a,cx0300a",cx0300a-cx1440a,cx0300a-cx1440a,<rdkit.Chem.rdchem.Mol object at 0x167f61f50>,YEBFHGFWUANWQR-COMAGPEQSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1440a,1984,N[C@H]1C[C@@]2(CCN1)N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2
190,None,None,None,,None,None,,"cx0892a,cx0300a",cx0300a-cx0892a,cx0300a-cx0892a,<rdkit.Chem.rdchem.Mol object at 0x167f61fc0>,AHQYDSUDIYYGCL-CWTRNNRKSA-N,"['butcher: adenine', 'pure_merges', 'butcher: phosphate', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0892a,1985,Cn1nccc1C(=O)c1cscc1[C@](O)(N[C@@H]1CCC(=O)NC1)c1cccs1
191,None,None,None,,None,None,,"cx0353a,cx0300a",cx0300a-cx0353a,cx0300a-cx0353a,<rdkit.Chem.rdchem.Mol object at 0x167f62030>,HKECIZNSIKPBMT-OAACRXHESA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0353a,1987,CN[C@H]1NCCC[C@@]12N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2
192,None,None,None,,None,None,,"cx0969a,cx0300a",cx0300a-cx0969a,cx0300a-cx0969a,<rdkit.Chem.rdchem.Mol object at 0x167f620a0>,GYEAQTBJGVOZJU-IANATYFASA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0969a,1988,O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(N2)C2=C(CC[C@H]3CO)OCC2)CN1
193,None,None,None,,None,None,,"cx0436a,cx0300a",cx0300a-cx0436a,cx0300a-cx0436a,<rdkit.Chem.rdchem.Mol object at 0x167f62180>,XUUNKUVRUIOYAF-VYDXJSESSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0436a,1996,O=C1C[C@H](N2CCN[C@H](CC3CCCCC3)C2=O)[C@@H](NC(=O)c2cscn2)CN1
194,None,None,None,,None,None,,"cx0300a,cx1132a",cx0300a-cx1132a,cx0300a-cx1132a,<rdkit.Chem.rdchem.Mol object at 0x167f62260>,IZFVORVORBSXRM-SSDOTTSWSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1132a,1999,Nc1nccc(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)n1
195,None,None,None,,None,None,,"cx0300a,cx1131a",cx0300a-cx1131a,cx0300a-cx1131a,<rdkit.Chem.rdchem.Mol object at 0x167f622d0>,SXIIEZDCYAFGNV-ZCFIWIBFSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1131a,2002,O=C1CC[C@@H](NC(=O)c2cscn2)CC1=O
196,None,None,None,,None,None,,"cx0300a,cx1417a",cx0300a-cx1417a,cx0300a-cx1417a,<rdkit.Chem.rdchem.Mol object at 0x167f62340>,OULBTDXTVHQBAE-SECBINFHSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx1417a,2006,Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CCC(=O)NC2)cs1
197,None,None,None,,None,None,,"cx0300a,cx0399a",cx0300a-cx0399a,cx0300a-cx0399a,<rdkit.Chem.rdchem.Mol object at 0x167f623b0>,OZFXABSOQMQAMP-AFNXNYLOSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx0300a-cx0399a,2007,CNC(=O)C1=C2N=CC=C2C=S2C=C(C(=O)N[C@@H]3CCC(=O)NC3)N=C12
198,None,None,None,,None,None,,"cx1372a,cx0721a",cx0721a-cx1372a,cx0721a-cx1372a,<rdkit.Chem.rdchem.Mol object at 0x167f62490>,DXILOKLGUWOXKC-SNVBAGLBSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (DF) [batch2_adenine2]', 'raw']",cx0300a,cx0721a-cx1372a,2054,CN(C)C(=O)CN[C@@H]1CCCCc2c(O)csc21
199,None,None,None,,None,None,,"cx1278a,cx1299a",cx1299a-cx1278a,cx1299a-cx1278a,<rdkit.Chem.rdchem.Mol object at 0x167f62500>,SRBKGIOKGZEZBL-MRVPVSSYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch2_adenine2]', 'raw']",cx0300a,cx1299a-cx1278a,2090,COC[C@@H](C)n1c(N)nc2ccccc21
200,None,None,None,,None,None,,"cx0300a,cx1445a",cx1445a-cx0300a,cx1445a-cx0300a,<rdkit.Chem.rdchem.Mol object at 0x167f62570>,KGXYLASKIYICEW-MRVPVSSYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx1445a-cx0300a,2147,NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)cc1O
201,None,None,None,,None,None,,"cx0540a,cx1131a",cx1131a-cx0540a,cx1131a-cx0540a,<rdkit.Chem.rdchem.Mol object at 0x167f625e0>,HJVXEPFWHPZXEY-NSHDSACASA-N,"['pure_merges', 'fragmenstein', 'butcher: oxyanion', 'select (HA) [batch3_oxyanion]', 'raw']",cx0300a,cx1131a-cx0540a,2164,CN(C(=O)COc1cccc(F)c1)[C@H]1CNC(=O)CN1
202,None,None,None,,None,None,,"cx0824a,cx0406a",cx0406a-cx0824a,cx0406a-cx0824a,<rdkit.Chem.rdchem.Mol object at 0x167f62650>,FAIKVXHYCBBUTG-MMQADKFZSA-N,"['butcher: adenine', 'pure_merges', 'butcher: phosphate', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx0406a-cx0824a,2185,Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1
203,None,None,None,,None,None,,"cx1299a,cx0756a",cx0756a-cx1299a,cx0756a-cx1299a,<rdkit.Chem.rdchem.Mol object at 0x167f62730>,STLCGPXKQDCKHO-UHFFFAOYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (DF) [batch2_adenine2]', 'raw']",cx0300a,cx0756a-cx1299a,2272,CC(C)c1c(N)ncc2c1-c1n[nH]cc1CCC2
204,None,None,None,,None,None,,"cx1288a,cx0756a",cx0756a-cx1288a,cx0756a-cx1288a,<rdkit.Chem.rdchem.Mol object at 0x167f627a0>,KEWAXFKLLZDCDX-UHFFFAOYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (DF) [batch2_adenine2]', 'raw']",cx0300a,cx0756a-cx1288a,2275,c1cc2c(ccc3c[nH]nc32)cn1
205,None,None,None,,None,None,,"cx1316a,cx0316a",cx1316a-cx0316a,cx1316a-cx0316a,<rdkit.Chem.rdchem.Mol object at 0x167f62810>,IBXQLIVBJJJVRV-UHFFFAOYSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'fragmenstein', 'butcher: oxyanion', 'raw']",cx0300a,cx1316a-cx0316a,2300,CN(C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1
206,None,None,None,,None,None,,"cx1410a,cx1417a",cx1417a-cx1410a,cx1417a-cx1410a,<rdkit.Chem.rdchem.Mol object at 0x167f62880>,CYHOPNZSVSYBQM-UHFFFAOYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch2_adenine2]', 'raw']",cx0300a,cx1417a-cx1410a,2321,CCOc1c(O)ccc2nn(N)c(C)c12
207,None,None,None,,None,None,,"cx0300a,cx1417a",cx1417a-cx0300a,cx1417a-cx0300a,<rdkit.Chem.rdchem.Mol object at 0x167f628f0>,WKWDUETUWZEBTK-KOLCDFICSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx1417a-cx0300a,2324,Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CC[C@H](O)NC2)cs1
208,None,None,None,,None,None,,"cx1299a,cx1417a",cx1417a-cx1299a,cx1417a-cx1299a,<rdkit.Chem.rdchem.Mol object at 0x167f62960>,ZFLRBPWUUCTPDU-UHFFFAOYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch2_adenine2]', 'raw']",cx0300a,cx1417a-cx1299a,2326,CCOc1c(O)ccc2nn(N)c(CC)c12
209,None,None,None,,None,None,,"cx1445a,cx1417a",cx1417a-cx1445a,cx1417a-cx1445a,<rdkit.Chem.rdchem.Mol object at 0x167f629d0>,PQKNEXGVROLRJV-VIFPVBQESA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch2_adenine2]', 'raw']",cx0300a,cx1417a-cx1445a,2327,CC[C@H]1CCCCc2c1c(C)nn2O
210,None,None,None,,None,None,,"cx0406a,cx1417a",cx1417a-cx0406a,cx1417a-cx0406a,<rdkit.Chem.rdchem.Mol object at 0x167f62a40>,BMYRXEILJCLAHE-FXPBBYGFSA-N,"['butcher: adenine', 'select (DF) [batch4_others]', 'pure_merges', 'butcher: phosphate', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx1417a-cx0406a,2329,CCO/C(=N\[C@H]1CCC[C@H]1CO)c1c(C)n[nH]c1C
211,None,None,None,,None,None,,"cx1417a,cx0316a",cx1417a-cx0316a,cx1417a-cx0316a,<rdkit.Chem.rdchem.Mol object at 0x167f62ab0>,WPJNMRJPBHMZLH-UHFFFAOYSA-N,"['butcher: adenine', 'pure_merges', 'fragmenstein', 'select (HA) [batch4_others]', 'butcher: oxyanion', 'raw']",cx0300a,cx1417a-cx0316a,2332,CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C
